ensembl_gene_id	NC1	NC2	NORAD.kd	external_gene_name	gene_biotype	logFC	logCPM	LR	PValue	FDR
ENSG00000153048	31	29	72	CARHSP1	protein_coding	1.3	5.5	10	0.0016	0.011
ENSG00000153561	21	19	51	RMND5A	protein_coding	1.3	4.9	10	0.0015	0.011
ENSG00000155876	12	10	30	RRAGA	protein_coding	1.4	4.1	10	0.0016	0.011
ENSG00000156475	45	75	23	PPP2R2B	protein_coding	-1.4	5.6	10	0.0015	0.011
ENSG00000158545	120	200	58	ZC3H18	protein_coding	-1.5	7	10	0.0015	0.011
ENSG00000160888	17	16	42	IER2	protein_coding	1.3	4.7	9.9	0.0016	0.011
ENSG00000164114	32	21	65	MAP9	protein_coding	1.3	5.3	10	0.0015	0.011
ENSG00000164953	4.7	3.7	14	TMEM67	protein_coding	1.7	2.9	9.9	0.0016	0.011
ENSG00000165516	24	9	42	KLHDC2	protein_coding	1.3	4.6	9.9	0.0016	0.011
ENSG00000165646	6.5	6.5	19	SLC18A2	protein_coding	1.5	3.4	9.9	0.0016	0.011
ENSG00000167553	13	21	5.4	TUBA1C	protein_coding	-1.7	3.7	10	0.0016	0.011
ENSG00000167978	1100	2000	490	SRRM2	protein_coding	-1.6	10	10	0.0016	0.011
ENSG00000169750	8.8	7.5	23	RAC3	protein_coding	1.5	3.7	10	0.0015	0.011
ENSG00000170571	6.3	1.8	14	EMB	protein_coding	1.7	2.9	9.9	0.0017	0.011
ENSG00000172239	17	21	48	PAIP1	protein_coding	1.3	4.9	10	0.0016	0.011
ENSG00000173327	4.1	4.3	14	MAP3K11	protein_coding	1.7	2.9	10	0.0015	0.011
ENSG00000178996	4.1	3.7	13	SNX18	protein_coding	1.7	2.8	10	0.0016	0.011
ENSG00000180998	3.2	2.1	9.5	GPR137C	protein_coding	1.8	2.4	9.9	0.0017	0.011
ENSG00000181555	170	190	63	SETD2	protein_coding	-1.5	7.1	10	0.0016	0.011
ENSG00000183814	11	12	31	LIN9	protein_coding	1.4	4.2	10	0.0015	0.011
ENSG00000196369	3.5	9	1.4	SRGAP2B	protein_coding	-2.2	2.2	10	0.0015	0.011
ENSG00000197457	64	64	160	STMN3	protein_coding	1.3	6.6	10	0.0015	0.011
ENSG00000198804	31000	29000	8800	MT-CO1	protein_coding	-1.8	14	10	0.0015	0.011
ENSG00000204304	53	72	24	PBX2	protein_coding	-1.4	5.6	10	0.0016	0.011
ENSG00000212747	14	13	35	RTL8B	protein_coding	1.4	4.4	10	0.0015	0.011
ENSG00000002330	2.9	1.8	8.5	BAD	protein_coding	1.8	2.2	9.7	0.0018	0.012
ENSG00000007923	140	310	81	DNAJC11	protein_coding	-1.5	7.5	9.7	0.0018	0.012
ENSG00000025772	250	230	87	TOMM34	protein_coding	-1.5	7.6	9.9	0.0017	0.012
ENSG00000033050	170	290	83	ABCF2	protein_coding	-1.5	7.5	9.8	0.0018	0.012
ENSG00000067182	27	43	13	TNFRSF1A	protein_coding	-1.5	4.8	9.8	0.0018	0.012
ENSG00000076513	66	50	23	ANKRD13A	protein_coding	-1.4	5.5	9.7	0.0018	0.012
ENSG00000096746	970	1200	360	HNRNPH3	protein_coding	-1.6	9.7	9.8	0.0017	0.012
ENSG00000100591	450	530	170	AHSA1	protein_coding	-1.5	8.6	9.7	0.0018	0.012
ENSG00000104853	120	210	60	CLPTM1	protein_coding	-1.5	7	9.8	0.0017	0.012
ENSG00000114391	2000	1000	500	RPL24	protein_coding	-1.6	10	9.8	0.0017	0.012
ENSG00000125249	19	27	57	RAP2A	protein_coding	1.3	5.1	9.8	0.0017	0.012
ENSG00000125520	7.8	7	21	SLC2A4RG	protein_coding	1.5	3.6	9.9	0.0017	0.012
ENSG00000128585	38	46	98	MKLN1	protein_coding	1.2	5.9	9.7	0.0018	0.012
ENSG00000131153	210	270	86	GINS2	protein_coding	-1.5	7.6	9.7	0.0018	0.012
ENSG00000132688	290	510	140	NES	protein_coding	-1.5	8.3	9.8	0.0018	0.012
ENSG00000133818	6.9	5.5	18	RRAS2	protein_coding	1.6	3.4	9.8	0.0017	0.012
ENSG00000136811	150	250	73	ODF2	protein_coding	-1.5	7.3	9.7	0.0018	0.012
ENSG00000138495	94	130	43	COX17	protein_coding	-1.4	6.5	9.7	0.0018	0.012
ENSG00000143553	70	64	26	SNAPIN	protein_coding	-1.3	5.7	9.8	0.0017	0.012
ENSG00000149311	80	40	150	ATM	protein_coding	1.3	6.5	9.8	0.0017	0.012
ENSG00000162600	3.2	1.3	8.3	OMA1	protein_coding	1.8	2.2	9.8	0.0017	0.012
ENSG00000164985	690	260	160	PSIP1	protein_coding	-1.5	8.5	9.8	0.0018	0.012
ENSG00000165046	23	24	7.9	LETM2	protein_coding	-1.6	4.2	9.9	0.0017	0.012
ENSG00000167302	3.5	2.6	11	TEPSIN	protein_coding	1.8	2.5	9.7	0.0018	0.012
ENSG00000168078	50	49	120	PBK	protein_coding	1.2	6.2	9.9	0.0017	0.012
ENSG00000175063	300	370	120	UBE2C	protein_coding	-1.5	8	9.8	0.0018	0.012
ENSG00000176371	24	37	11	ZSCAN2	protein_coding	-1.5	4.6	9.9	0.0017	0.012
ENSG00000176444	110	130	45	CLK2	protein_coding	-1.4	6.6	9.7	0.0018	0.012
ENSG00000176476	20	28	8.4	SGF29	protein_coding	-1.5	4.2	9.7	0.0018	0.012
ENSG00000178307	43	45	16	TMEM11	protein_coding	-1.4	5.1	9.9	0.0017	0.012
ENSG00000184209	42	50	17	SNRNP35	protein_coding	-1.4	5.2	9.7	0.0018	0.012
ENSG00000185129	11	14	33	PURA	protein_coding	1.4	4.3	9.8	0.0018	0.012
ENSG00000186566	160	250	74	GPATCH8	protein_coding	-1.5	7.3	9.7	0.0018	0.012
ENSG00000197728	230	160	70	RPS26	protein_coding	-1.5	7.3	9.8	0.0017	0.012
ENSG00000198722	120	200	58	UNC13B	protein_coding	-1.5	7	9.9	0.0017	0.012
ENSG00000204256	380	500	150	BRD2	protein_coding	-1.5	8.4	9.8	0.0017	0.012
ENSG00000237854	5.2	14	2.4	LINC00674	transcribed_unprocessed_pseudogene	-2	2.8	9.8	0.0017	0.012
ENSG00000244509	100	82	35	APOBEC3C	protein_coding	-1.4	6.2	9.9	0.0017	0.012
ENSG00000245910	260	260	93	SNHG6	processed_transcript	-1.5	7.7	9.8	0.0017	0.012
ENSG00000270696	2.8	2.1	8.8	AC005034.3	antisense_RNA	1.8	2.2	9.7	0.0018	0.012
ENSG00000010810	130	190	58	FYN	protein_coding	-1.4	7	9.7	0.0019	0.013
ENSG00000047188	39	29	80	YTHDC2	protein_coding	1.2	5.6	9.7	0.0019	0.013
ENSG00000080345	63	64	150	RIF1	protein_coding	1.3	6.6	9.7	0.0019	0.013
ENSG00000099341	270	430	120	PSMD8	protein_coding	-1.5	8.1	9.5	0.002	0.013
ENSG00000101928	3	3.9	12	MOSPD1	protein_coding	1.8	2.7	9.6	0.002	0.013
ENSG00000109265	70	150	42	KIAA1211	protein_coding	-1.4	6.4	9.6	0.0019	0.013
ENSG00000111641	180	260	79	NOP2	protein_coding	-1.5	7.4	9.6	0.002	0.013
ENSG00000112874	8.7	5.4	20	NUDT12	protein_coding	1.5	3.5	9.6	0.0019	0.013
ENSG00000116251	710	840	260	RPL22	protein_coding	-1.6	9.2	9.6	0.0019	0.013
ENSG00000119927	47	55	120	GPAM	protein_coding	1.2	6.2	9.6	0.0019	0.013
ENSG00000122550	11	9.3	26	KLHL7	protein_coding	1.4	4	9.5	0.002	0.013
ENSG00000126062	15	12	34	TMEM115	protein_coding	1.3	4.3	9.5	0.002	0.013
ENSG00000133169	460	340	140	BEX1	protein_coding	-1.5	8.3	9.7	0.0019	0.013
ENSG00000134987	35	37	83	WDR36	protein_coding	1.2	5.7	9.6	0.0019	0.013
ENSG00000145723	2.7	2.5	9.1	GIN1	protein_coding	1.8	2.3	9.7	0.0019	0.013
ENSG00000152795	920	1300	380	HNRNPDL	protein_coding	-1.6	9.8	9.5	0.002	0.013
ENSG00000162688	37	42	91	AGL	protein_coding	1.2	5.8	9.6	0.002	0.013
ENSG00000163041	8.4	7.6	22	H3F3A	protein_coding	1.5	3.7	9.5	0.002	0.013
ENSG00000164104	1600	1000	430	HMGB2	protein_coding	-1.6	10	9.6	0.0019	0.013
ENSG00000164938	4.1	0.29	8.3	TP53INP1	protein_coding	1.8	2.2	9.7	0.0019	0.013
ENSG00000167513	25	21	56	CDT1	protein_coding	1.3	5.1	9.6	0.0019	0.013
ENSG00000174791	3.4	1.7	9	RIN1	protein_coding	1.8	2.3	9.6	0.0019	0.013
ENSG00000178999	150	220	67	AURKB	protein_coding	-1.4	7.2	9.6	0.002	0.013
ENSG00000182518	46	33	15	FAM104B	protein_coding	-1.4	5	9.5	0.002	0.013
ENSG00000185149	12	13	31	NPY2R	protein_coding	1.4	4.2	9.5	0.002	0.013
ENSG00000188811	3.7	3.1	12	NHLRC3	protein_coding	1.7	2.7	9.5	0.002	0.013
ENSG00000213109	5.1	17	3	AL365223.1	transcribed_processed_pseudogene	-1.9	3	9.5	0.002	0.013
ENSG00000223572	22	21	7.4	CKMT1A	protein_coding	-1.5	4.1	9.6	0.0019	0.013
ENSG00000277443	200	120	410	MARCKS	protein_coding	1.3	7.9	9.6	0.002	0.013
ENSG00000011258	36	18	64	MBTD1	protein_coding	1.2	5.3	9.4	0.0022	0.014
ENSG00000047249	13	22	42	ATP6V1H	protein_coding	1.3	4.7	9.4	0.0022	0.014
ENSG00000065328	170	240	75	MCM10	protein_coding	-1.4	7.3	9.4	0.0022	0.014
ENSG00000071243	12	6.5	24	ING3	protein_coding	1.4	3.8	9.4	0.0022	0.014
ENSG00000082212	46	24	81	ME2	protein_coding	1.2	5.7	9.5	0.0021	0.014
ENSG00000085840	56	87	29	ORC1	protein_coding	-1.3	5.8	9.4	0.0022	0.014
ENSG00000096080	45	52	19	MRPS18A	protein_coding	-1.4	5.3	9.4	0.0022	0.014
ENSG00000099904	9.8	7.5	23	ZDHHC8	protein_coding	1.4	3.8	9.4	0.0022	0.014
ENSG00000101974	32	41	84	ATP11C	protein_coding	1.2	5.7	9.4	0.0022	0.014
ENSG00000112742	20	31	61	TTK	protein_coding	1.2	5.2	9.4	0.0022	0.014
ENSG00000116747	83	57	170	TROVE2	protein_coding	1.3	6.7	9.4	0.0021	0.014
ENSG00000116957	130	170	55	TBCE	protein_coding	-1.4	6.9	9.4	0.0021	0.014
ENSG00000117523	1400	1300	450	PRRC2C	protein_coding	-1.6	10	9.5	0.0021	0.014
ENSG00000117533	12	9.3	27	VAMP4	protein_coding	1.4	4	9.4	0.0022	0.014
ENSG00000129680	120	110	45	MAP7D3	protein_coding	-1.4	6.5	9.4	0.0022	0.014
ENSG00000134152	11	12	30	KATNBL1	protein_coding	1.4	4.2	9.5	0.0021	0.014
ENSG00000138069	33	30	74	RAB1A	protein_coding	1.2	5.5	9.5	0.0021	0.014
ENSG00000139324	23	20	52	TMTC3	protein_coding	1.3	5	9.4	0.0022	0.014
ENSG00000143156	4.6	3.4	13	NME7	protein_coding	1.7	2.8	9.4	0.0021	0.014
ENSG00000143162	29	9.8	47	CREG1	protein_coding	1.3	4.9	9.4	0.0022	0.014
ENSG00000147687	18	11	36	TATDN1	protein_coding	1.3	4.4	9.5	0.0021	0.014
ENSG00000149474	68	68	27	KAT14	protein_coding	-1.3	5.8	9.4	0.0022	0.014
ENSG00000163638	53	91	29	ADAMTS9	protein_coding	-1.3	5.8	9.5	0.002	0.014
ENSG00000170473	33	50	16	PYM1	protein_coding	-1.4	5	9.5	0.0021	0.014
ENSG00000174243	280	470	130	DDX23	protein_coding	-1.5	8.2	9.5	0.0021	0.014
ENSG00000179335	70	99	33	CLK3	protein_coding	-1.3	6.1	9.5	0.0021	0.014
ENSG00000180773	19	27	55	SLC36A4	protein_coding	1.3	5.1	9.3	0.0022	0.014
ENSG00000185950	15	19	42	IRS2	protein_coding	1.3	4.7	9.4	0.0022	0.014
ENSG00000196199	170	120	55	MPHOSPH8	protein_coding	-1.4	6.9	9.4	0.0021	0.014
ENSG00000197170	52	63	140	PSMD12	protein_coding	1.2	6.4	9.5	0.0021	0.014
ENSG00000203668	50	54	120	CHML	protein_coding	1.2	6.2	9.4	0.0021	0.014
ENSG00000205189	18	26	53	ZBTB10	protein_coding	1.3	5	9.4	0.0022	0.014
ENSG00000237036	2.7	2.1	8.4	ZEB1-AS1	antisense_RNA	1.8	2.2	9.4	0.0022	0.014
ENSG00000272674	16	28	7.5	PCDHB16	protein_coding	-1.5	4.1	9.5	0.0021	0.014
ENSG00000009413	33	26	69	REV3L	protein_coding	1.2	5.4	9.2	0.0024	0.015
ENSG00000067596	120	220	63	DHX8	protein_coding	-1.4	7.1	9.3	0.0023	0.015
ENSG00000068394	44	58	20	GPKOW	protein_coding	-1.3	5.3	9.2	0.0024	0.015
ENSG00000084070	87	100	38	SMAP2	protein_coding	-1.3	6.2	9.3	0.0023	0.015
ENSG00000086827	16	19	43	ZW10	protein_coding	1.3	4.7	9.3	0.0023	0.015
ENSG00000087088	22	17	47	BAX	protein_coding	1.3	4.8	9.2	0.0024	0.015
ENSG00000103145	3.5	1.7	9.1	HCFC1R1	protein_coding	1.8	2.3	9.3	0.0023	0.015
ENSG00000103152	6.4	2.3	14	MPG	protein_coding	1.6	2.9	9.3	0.0023	0.015
ENSG00000106443	460	390	150	PHF14	protein_coding	-1.5	8.4	9.2	0.0024	0.015
ENSG00000108256	60	69	150	NUFIP2	protein_coding	1.2	6.6	9.2	0.0024	0.015
ENSG00000113300	44	38	93	CNOT6	protein_coding	1.2	5.9	9.2	0.0024	0.015
ENSG00000115241	450	620	190	PPM1G	protein_coding	-1.5	8.7	9.2	0.0024	0.015
ENSG00000130119	77	100	35	GNL3L	protein_coding	-1.3	6.1	9.3	0.0023	0.015
ENSG00000130332	190	150	64	LSM7	protein_coding	-1.4	7.1	9.2	0.0024	0.015
ENSG00000131711	1600	1900	590	MAP1B	protein_coding	-1.6	10	9.2	0.0024	0.015
ENSG00000132872	28	9.7	46	SYT4	protein_coding	1.3	4.8	9.2	0.0024	0.015
ENSG00000133710	29	14	7.7	SPINK5	protein_coding	-1.5	4.1	9.2	0.0024	0.015
ENSG00000134590	15	13	35	RTL8C	protein_coding	1.3	4.4	9.3	0.0023	0.015
ENSG00000143614	170	180	65	GATAD2B	protein_coding	-1.4	7.1	9.3	0.0023	0.015
ENSG00000151929	21	33	9.6	BAG3	protein_coding	-1.5	4.4	9.3	0.0023	0.015
ENSG00000155975	15	12	34	VPS37A	protein_coding	1.3	4.4	9.2	0.0024	0.015
ENSG00000165630	15	22	6.2	PRPF18	protein_coding	-1.6	3.8	9.3	0.0023	0.015
ENSG00000165637	41	34	85	VDAC2	protein_coding	1.2	5.7	9.3	0.0024	0.015
ENSG00000167182	32	58	17	SP2	protein_coding	-1.4	5.2	9.2	0.0024	0.015
ENSG00000167397	33	20	9.8	VKORC1	protein_coding	-1.5	4.4	9.2	0.0024	0.015
ENSG00000168772	9.1	8.4	23	CXXC4	protein_coding	1.4	3.8	9.3	0.0023	0.015
ENSG00000169375	110	170	53	SIN3A	protein_coding	-1.4	6.8	9.3	0.0024	0.015
ENSG00000174718	11	7.3	24	KIAA1551	protein_coding	1.4	3.8	9.3	0.0023	0.015
ENSG00000175073	12	9.3	28	VCPIP1	protein_coding	1.4	4	9.2	0.0024	0.015
ENSG00000182534	410	420	150	MXRA7	protein_coding	-1.5	8.4	9.2	0.0024	0.015
ENSG00000184207	10	15	32	PGP	protein_coding	1.3	4.2	9.2	0.0024	0.015
ENSG00000185864	5.3	10	1.9	NPIPB4	protein_coding	-2	2.5	9.3	0.0023	0.015
ENSG00000188938	82	63	29	FAM120AOS	protein_coding	-1.3	5.9	9.2	0.0024	0.015
ENSG00000189060	320	450	140	H1F0	protein_coding	-1.5	8.2	9.3	0.0023	0.015
ENSG00000197747	81	58	28	S100A10	protein_coding	-1.3	5.8	9.2	0.0024	0.015
ENSG00000258947	2.5	3	9.4	TUBB3	protein_coding	1.8	2.4	9.3	0.0023	0.015
ENSG00000072310	23	25	57	SREBF1	protein_coding	1.2	5.1	9	0.0026	0.016
ENSG00000117614	96	79	35	SYF2	protein_coding	-1.3	6.1	9.1	0.0025	0.016
ENSG00000119242	32	39	13	CCDC92	protein_coding	-1.4	4.8	9.1	0.0025	0.016
ENSG00000122359	43	36	15	ANXA11	protein_coding	-1.4	5	9.1	0.0025	0.016
ENSG00000131979	34	9.1	52	GCH1	protein_coding	1.3	5	9.1	0.0025	0.016
ENSG00000137288	57	65	25	UQCC2	protein_coding	-1.3	5.6	9.1	0.0026	0.016
ENSG00000139291	14	17	38	TMEM19	protein_coding	1.3	4.5	9.1	0.0025	0.016
ENSG00000143320	34	52	17	CRABP2	protein_coding	-1.4	5.1	9.1	0.0026	0.016
ENSG00000148300	67	140	40	REXO4	protein_coding	-1.3	6.3	9.1	0.0026	0.016
ENSG00000154767	45	60	21	XPC	protein_coding	-1.3	5.4	9.1	0.0025	0.016
ENSG00000156831	72	30	20	NSMCE2	protein_coding	-1.3	5.4	9.2	0.0025	0.016
ENSG00000163528	44	54	19	CHCHD4	protein_coding	-1.3	5.3	9.1	0.0025	0.016
ENSG00000164073	6.8	7.2	19	MFSD8	protein_coding	1.5	3.5	9.1	0.0025	0.016
ENSG00000168701	7.9	12	26	TMEM208	protein_coding	1.4	3.9	9.2	0.0025	0.016
ENSG00000169740	50	59	22	ZNF32	protein_coding	-1.3	5.4	9.2	0.0025	0.016
ENSG00000172167	6.5	7.4	19	MTBP	protein_coding	1.5	3.5	9.1	0.0025	0.016
ENSG00000177156	110	120	45	TALDO1	protein_coding	-1.4	6.5	9.2	0.0025	0.016
ENSG00000183570	50	64	23	PCBP3	protein_coding	-1.3	5.5	9	0.0026	0.016
ENSG00000189046	89	93	36	ALKBH2	protein_coding	-1.3	6.2	9.2	0.0025	0.016
ENSG00000197147	27	25	61	LRRC8B	protein_coding	1.2	5.2	9.2	0.0025	0.016
ENSG00000198846	98	93	38	TOX	protein_coding	-1.3	6.3	9.1	0.0025	0.016
ENSG00000210082	39000	31000	11000	MT-RNR2	Mt_rRNA	-1.7	15	9.1	0.0026	0.016
ENSG00000232573	10	7.6	2.4	RPL3P4	processed_pseudogene	-1.9	2.8	9.2	0.0025	0.016
ENSG00000070814	210	310	97	TCOF1	protein_coding	-1.4	7.7	9	0.0027	0.017
ENSG00000071054	240	370	110	MAP4K4	protein_coding	-1.4	7.9	9	0.0027	0.017
ENSG00000075336	49	59	22	TIMM21	protein_coding	-1.3	5.4	9	0.0028	0.017
ENSG00000090097	16	17	40	PCBP4	protein_coding	1.3	4.6	9	0.0027	0.017
ENSG00000102241	950	740	300	HTATSF1	protein_coding	-1.5	9.4	8.9	0.0029	0.017
ENSG00000105127	77	110	37	AKAP8	protein_coding	-1.3	6.2	9	0.0027	0.017
ENSG00000105880	5.2	8	1.6	DLX5	protein_coding	-2	2.3	9	0.0027	0.017
ENSG00000107959	100	140	48	PITRM1	protein_coding	-1.4	6.6	9	0.0027	0.017
ENSG00000111665	67	93	32	CDCA3	protein_coding	-1.3	6	9	0.0027	0.017
ENSG00000111727	4.7	1.7	11	HCFC2	protein_coding	1.7	2.6	9	0.0027	0.017
ENSG00000117155	20	14	41	SSX2IP	protein_coding	1.3	4.7	9	0.0028	0.017
ENSG00000119977	23	7.2	37	TCTN3	protein_coding	1.3	4.5	8.9	0.0028	0.017
ENSG00000120256	20	14	41	LRP11	protein_coding	1.3	4.7	8.9	0.0028	0.017
ENSG00000121903	8.2	13	3	ZSCAN20	protein_coding	-1.8	3	9	0.0027	0.017
ENSG00000131115	58	47	21	ZNF227	protein_coding	-1.3	5.4	8.9	0.0028	0.017
ENSG00000132429	5.5	5.3	16	POPDC3	protein_coding	1.5	3.2	9	0.0028	0.017
ENSG00000133884	60	69	26	DPF2	protein_coding	-1.3	5.7	9	0.0027	0.017
ENSG00000134056	12	6.7	24	MRPS36	protein_coding	1.4	3.9	8.9	0.0028	0.017
ENSG00000136295	65	59	140	TTYH3	protein_coding	1.2	6.5	9	0.0028	0.017
ENSG00000138668	1400	1200	450	HNRNPD	protein_coding	-1.5	10	8.9	0.0028	0.017
ENSG00000143321	1300	1200	440	HDGF	protein_coding	-1.5	10	9	0.0028	0.017
ENSG00000145390	3.6	3.3	11	USP53	protein_coding	1.7	2.6	8.9	0.0028	0.017
ENSG00000146476	12	15	32	ARMT1	protein_coding	1.3	4.3	9	0.0027	0.017
ENSG00000156381	8.1	6.8	20	ANKRD9	protein_coding	1.4	3.6	9	0.0027	0.017
ENSG00000158863	8.3	8.4	22	FAM160B2	protein_coding	1.4	3.7	8.9	0.0029	0.017
ENSG00000158987	4.6	3.7	13	RAPGEF6	protein_coding	1.6	2.9	8.9	0.0029	0.017
ENSG00000161036	10	7.3	23	LRWD1	protein_coding	1.4	3.8	8.9	0.0028	0.017
ENSG00000163001	95	23	24	CFAP36	protein_coding	-1.3	5.6	8.9	0.0028	0.017
ENSG00000168872	100	120	44	DDX19A	protein_coding	-1.3	6.5	8.9	0.0029	0.017
ENSG00000173575	270	300	110	CHD2	protein_coding	-1.4	7.8	9	0.0028	0.017
ENSG00000175879	32	35	13	HOXD8	protein_coding	-1.4	4.7	8.9	0.0028	0.017
ENSG00000186019	3.5	4.8	13	AC021092.1	antisense_RNA	1.6	2.9	9	0.0028	0.017
ENSG00000186063	14	9.1	29	AIDA	protein_coding	1.3	4.2	8.9	0.0028	0.017
ENSG00000198189	61	31	100	HSD17B11	protein_coding	1.2	6	8.9	0.0028	0.017
ENSG00000198331	21	16	6.5	HYLS1	protein_coding	-1.5	3.9	9	0.0027	0.017
ENSG00000236345	13	22	6	AL354719.2	antisense_RNA	-1.6	3.8	9	0.0027	0.017
ENSG00000255737	5.6	4.6	15	AGAP2-AS1	antisense_RNA	1.6	3.1	9	0.0027	0.017
ENSG00000269837	3.7	0.95	8.2	IPO5P1	transcribed_processed_pseudogene	1.8	2.2	8.9	0.0028	0.017
ENSG00000011405	20	20	48	PIK3C2A	protein_coding	1.2	4.9	8.8	0.0029	0.018
ENSG00000017260	120	67	230	ATP2C1	protein_coding	1.3	7.1	8.9	0.0029	0.018
ENSG00000047932	35	24	68	GOPC	protein_coding	1.2	5.4	8.8	0.0029	0.018
ENSG00000068308	86	95	37	OTUD5	protein_coding	-1.3	6.2	8.8	0.0031	0.018
ENSG00000079432	24	26	58	CIC	protein_coding	1.2	5.2	8.9	0.0029	0.018
ENSG00000080845	76	100	36	DLGAP4	protein_coding	-1.3	6.2	8.9	0.0029	0.018
ENSG00000083520	24	28	60	DIS3	protein_coding	1.2	5.2	8.8	0.0029	0.018
ENSG00000083828	4.3	1.4	9.6	ZNF586	protein_coding	1.7	2.4	8.8	0.003	0.018
ENSG00000102931	39	21	69	ARL2BP	protein_coding	1.2	5.4	8.8	0.0031	0.018
ENSG00000103249	17	20	44	CLCN7	protein_coding	1.3	4.8	8.8	0.0029	0.018
ENSG00000105323	600	900	270	HNRNPUL1	protein_coding	-1.5	9.2	8.8	0.0031	0.018
ENSG00000106028	410	310	130	SSBP1	protein_coding	-1.4	8.1	8.9	0.0029	0.018
ENSG00000106591	130	140	54	MRPL32	protein_coding	-1.4	6.8	8.8	0.003	0.018
ENSG00000108784	8.2	6	19	NAGLU	protein_coding	1.4	3.5	8.8	0.0029	0.018
ENSG00000109220	2.6	2.9	9.1	CHIC2	protein_coding	1.7	2.3	8.8	0.003	0.018
ENSG00000110697	3	2	8.4	PITPNM1	protein_coding	1.7	2.2	8.8	0.0031	0.018
ENSG00000118412	29	26	63	CASP8AP2	protein_coding	1.2	5.3	8.8	0.003	0.018
ENSG00000123358	2.5	6.6	14	NR4A1	protein_coding	1.6	2.9	8.8	0.0031	0.018
ENSG00000125503	15	10	32	PPP1R12C	protein_coding	1.3	4.3	8.8	0.003	0.018
ENSG00000130558	130	210	65	OLFM1	protein_coding	-1.4	7.1	8.8	0.003	0.018
ENSG00000135655	48	27	84	USP15	protein_coding	1.2	5.7	8.8	0.003	0.018
ENSG00000136492	18	17	43	BRIP1	protein_coding	1.3	4.7	8.8	0.0031	0.018
ENSG00000138399	16	14	36	FASTKD1	protein_coding	1.3	4.5	8.8	0.0031	0.018
ENSG00000140299	44	22	75	BNIP2	protein_coding	1.2	5.6	8.8	0.0029	0.018
ENSG00000145833	540	490	190	DDX46	protein_coding	-1.4	8.7	8.8	0.0031	0.018
ENSG00000160072	15	22	44	ATAD3B	protein_coding	1.3	4.8	8.8	0.003	0.018
ENSG00000163873	29	68	19	GRIK3	protein_coding	-1.3	5.3	8.8	0.003	0.018
ENSG00000169744	53	65	24	LDB2	protein_coding	-1.3	5.6	8.8	0.003	0.018
ENSG00000170004	210	370	110	CHD3	protein_coding	-1.4	7.9	8.8	0.003	0.018
ENSG00000171016	18	12	37	PYGO1	protein_coding	1.3	4.5	8.8	0.0031	0.018
ENSG00000174173	38	21	68	TRMT10C	protein_coding	1.2	5.4	8.8	0.0031	0.018
ENSG00000178150	29	27	11	ZNF114	protein_coding	-1.4	4.5	8.9	0.0029	0.018
ENSG00000179454	5.9	8.4	19	KLHL28	protein_coding	1.4	3.5	8.8	0.0031	0.018
ENSG00000182916	24	29	9.9	TCEAL7	protein_coding	-1.4	4.4	8.7	0.0031	0.018
ENSG00000186184	110	100	43	POLR1D	protein_coding	-1.3	6.4	8.9	0.0029	0.018
ENSG00000196505	8	7.2	20	GDAP2	protein_coding	1.4	3.6	8.9	0.0029	0.018
ENSG00000196678	12	16	34	ERI2	protein_coding	1.3	4.4	8.8	0.0031	0.018
ENSG00000198899	16000	4700	3300	MT-ATP6	protein_coding	-1.6	13	8.9	0.0029	0.018
ENSG00000204569	200	240	84	PPP1R10	protein_coding	-1.4	7.5	8.8	0.0031	0.018
ENSG00000070761	88	110	39	CFAP20	protein_coding	-1.3	6.3	8.7	0.0032	0.019
ENSG00000075151	210	310	99	EIF4G3	protein_coding	-1.4	7.7	8.7	0.0032	0.019
ENSG00000078043	12	5.4	23	PIAS2	protein_coding	1.4	3.8	8.7	0.0031	0.019
ENSG00000090971	13	5.7	24	NAT14	protein_coding	1.4	3.8	8.6	0.0033	0.019
ENSG00000100393	140	200	65	EP300	protein_coding	-1.4	7.1	8.7	0.0032	0.019
ENSG00000100764	100	110	42	PSMC1	protein_coding	-1.3	6.4	8.7	0.0032	0.019
ENSG00000102096	21	18	7	PIM2	protein_coding	-1.5	3.9	8.7	0.0031	0.019
ENSG00000106245	210	140	68	BUD31	protein_coding	-1.4	7.1	8.7	0.0032	0.019
ENSG00000110104	63	110	35	CCDC86	protein_coding	-1.3	6.1	8.7	0.0032	0.019
ENSG00000115827	8.6	5.5	19	DCAF17	protein_coding	1.4	3.5	8.7	0.0032	0.019
ENSG00000117318	23	23	55	ID3	protein_coding	1.2	5.1	8.7	0.0032	0.019
ENSG00000119559	3.9	5.1	13	C19orf25	protein_coding	1.6	2.9	8.7	0.0032	0.019
ENSG00000130313	9	4.3	18	PGLS	protein_coding	1.5	3.4	8.7	0.0031	0.019
ENSG00000131876	220	360	110	SNRPA1	protein_coding	-1.4	7.8	8.7	0.0032	0.019
ENSG00000137414	14	18	38	FAM8A1	protein_coding	1.3	4.6	8.7	0.0032	0.019
ENSG00000144283	67	89	32	PKP4	protein_coding	-1.3	6	8.7	0.0032	0.019
ENSG00000158417	590	480	200	EIF5B	protein_coding	-1.4	8.7	8.6	0.0033	0.019
ENSG00000165795	47	65	23	NDRG2	protein_coding	-1.3	5.5	8.6	0.0033	0.019
ENSG00000167881	180	250	83	SRP68	protein_coding	-1.4	7.4	8.7	0.0032	0.019
